[2019-06-11T08:37:42,738][INFO ][o.e.n.Node               ] [] initializing ...
[2019-06-11T08:37:42,902][INFO ][o.e.e.NodeEnvironment    ] [EFEhl-v] using [1] data paths, mounts [[(E:)]], net usable_space [190gb], net total_space [540.8gb], spins? [unknown], types [NTFS]
[2019-06-11T08:37:42,902][INFO ][o.e.e.NodeEnvironment    ] [EFEhl-v] heap size [1.9gb], compressed ordinary object pointers [true]
[2019-06-11T08:37:43,006][INFO ][o.e.n.Node               ] node name [EFEhl-v] derived from node ID [EFEhl-vRSw6U__-eRtyXRg]; set [node.name] to override
[2019-06-11T08:37:43,006][INFO ][o.e.n.Node               ] version[5.6.8], pid[12144], build[688ecce/2018-02-16T16:46:30.010Z], OS[Windows 10/10.0/amd64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/1.8.0_211/25.211-b12]
[2019-06-11T08:37:43,006][INFO ][o.e.n.Node               ] JVM arguments [-Xms2g, -Xmx2g, -XX:+UseConcMarkSweepGC, -XX:CMSInitiatingOccupancyFraction=75, -XX:+UseCMSInitiatingOccupancyOnly, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -Djdk.io.permissionsUseCanonicalPath=true, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j.skipJansi=true, -XX:+HeapDumpOnOutOfMemoryError, -Delasticsearch, -Des.path.home=E:\Project(s)\Web\telkom_kp\elasticsearch-5.6.8]
[2019-06-11T08:37:46,467][INFO ][o.e.p.PluginsService     ] [EFEhl-v] loaded module [aggs-matrix-stats]
[2019-06-11T08:37:46,467][INFO ][o.e.p.PluginsService     ] [EFEhl-v] loaded module [ingest-common]
[2019-06-11T08:37:46,467][INFO ][o.e.p.PluginsService     ] [EFEhl-v] loaded module [lang-expression]
[2019-06-11T08:37:46,467][INFO ][o.e.p.PluginsService     ] [EFEhl-v] loaded module [lang-groovy]
[2019-06-11T08:37:46,467][INFO ][o.e.p.PluginsService     ] [EFEhl-v] loaded module [lang-mustache]
[2019-06-11T08:37:46,467][INFO ][o.e.p.PluginsService     ] [EFEhl-v] loaded module [lang-painless]
[2019-06-11T08:37:46,467][INFO ][o.e.p.PluginsService     ] [EFEhl-v] loaded module [parent-join]
[2019-06-11T08:37:46,467][INFO ][o.e.p.PluginsService     ] [EFEhl-v] loaded module [percolator]
[2019-06-11T08:37:46,467][INFO ][o.e.p.PluginsService     ] [EFEhl-v] loaded module [reindex]
[2019-06-11T08:37:46,467][INFO ][o.e.p.PluginsService     ] [EFEhl-v] loaded module [transport-netty3]
[2019-06-11T08:37:46,471][INFO ][o.e.p.PluginsService     ] [EFEhl-v] loaded module [transport-netty4]
[2019-06-11T08:37:46,471][INFO ][o.e.p.PluginsService     ] [EFEhl-v] no plugins loaded
[2019-06-11T08:37:54,351][INFO ][o.e.d.DiscoveryModule    ] [EFEhl-v] using discovery type [zen]
[2019-06-11T08:37:55,743][INFO ][o.e.n.Node               ] initialized
[2019-06-11T08:37:55,743][INFO ][o.e.n.Node               ] [EFEhl-v] starting ...
[2019-06-11T08:37:59,007][INFO ][o.e.t.TransportService   ] [EFEhl-v] publish_address {127.0.0.1:9300}, bound_addresses {127.0.0.1:9300}, {[::1]:9300}
[2019-06-11T08:38:02,406][INFO ][o.e.c.s.ClusterService   ] [EFEhl-v] new_master {EFEhl-v}{EFEhl-vRSw6U__-eRtyXRg}{Zq5V8I-AT4SL8dKLPk_nxA}{127.0.0.1}{127.0.0.1:9300}, reason: zen-disco-elected-as-master ([0] nodes joined)
[2019-06-11T08:38:03,034][INFO ][o.e.g.GatewayService     ] [EFEhl-v] recovered [1] indices into cluster_state
[2019-06-11T08:38:03,918][INFO ][o.e.h.n.Netty4HttpServerTransport] [EFEhl-v] publish_address {127.0.0.1:9200}, bound_addresses {127.0.0.1:9200}, {[::1]:9200}
[2019-06-11T08:38:03,918][INFO ][o.e.n.Node               ] [EFEhl-v] started
[2019-06-11T08:38:04,678][INFO ][o.e.c.r.a.AllocationService] [EFEhl-v] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[incident][3]] ...]).
